hour_of_day,1,2,3,4,5,6,7
0,0.04053118142709446,0.038659399880675134,0.04769386878367635,0.0373758968477326,0.04885602723463337,0.04012847633135595,0.049045992088205724
1,0.03713890226174723,0.03714986412868801,0.0438042313655357,0.03482120368646719,0.03697984543232501,0.037573969467776094,0.04132896840233516
2,0.03540793647499758,0.04140878813836542,0.04094397671019744,0.03494196650406413,0.03764708814725313,0.035274717615287984,0.04110730059867034
3,0.03462803012269168,0.040038647257885036,0.03688857932049926,0.03750388201056297,0.039944950992377645,0.036087174815540635,0.03873432434609671
4,0.03365013789734865,0.037309793257526015,0.03902534540874717,0.03446900049053388,0.03677800434621028,0.03751621152712197,0.03718385407313418
5,0.03749355903304903,0.037290092274405294,0.035977777071022,0.03307222494885636,0.03678631273459658,0.0382281321250678,0.037770173108303155
6,0.03909706906302715,0.03884629138218288,0.04038638852971888,0.03952984744780213,0.04017475046480817,0.03793819535989169,0.040449456395340276
7,0.036335235096939415,0.0411081547071184,0.040153931407386406,0.03830035703761261,0.03872704675829105,0.03549333411963303,0.040501109744096465
8,0.040480148969636504,0.045114358552655075,0.043433254792172735,0.04100275041221047,0.04078106499823678,0.0397037935293968,0.04307240273982208
9,0.04044203136013474,0.04815033361918607,0.043655672238125394,0.03902116010514433,0.03916508345710194,0.03875389132317167,0.04517734361011945
10,0.042769149036279624,0.04410014479924996,0.04146344220344358,0.037433415344907,0.04298898624210011,0.0415648002597488,0.04561117821288513
11,0.042767769780672656,0.042715540659257985,0.04276031564461708,0.03895062837331509,0.046382105683227794,0.04116649988161646,0.04621636544021633
12,0.04606977039719991,0.0448456276197546,0.043741816873915776,0.04180722857857284,0.04635605954503265,0.04339787265899003,0.04399553907763177
13,0.04601848716599523,0.044541303974146594,0.0442968775834176,0.04650715347268903,0.04788941877943708,0.048037940489483705,0.046298194514735526
14,0.0454119908595477,0.04775726627015512,0.05019564380548106,0.05026895428053762,0.04897913644984938,0.04412861856703224,0.04964856988470598
15,0.04791471285183478,0.04843912265272607,0.04488353168012861,0.055072594654852904,0.048292309676582136,0.04822896003386667,0.04508066085240872
16,0.05060821097194074,0.04789279236854147,0.043632644169226256,0.049376571714081795,0.04454278674951844,0.04892380965168926,0.04248093175147406
17,0.047472222575743545,0.04264256964624891,0.042520837769571454,0.042422559379227065,0.03956955690441582,0.05842249434279189,0.04059725723394444
18,0.04180479859325959,0.04018500592100846,0.042395236503533155,0.04169368810620934,0.04288275756201816,0.04184414357085634,0.039659668663840277
19,0.042583952624325315,0.04405943340210623,0.03852560823062499,0.0466805548244648,0.04381263766537979,0.04121029065671521,0.0385350708841849
20,0.04583147264437719,0.04002579102720807,0.039523889058908114,0.04734767829904531,0.041001896686377326,0.046641223933945965,0.037647864401662866
21,0.0452509314207154,0.03761762855873559,0.03837922553655576,0.04148072652108284,0.04017534392112148,0.041879904912616485,0.04270106066003345
22,0.03946232102512797,0.034765152377283705,0.03923084284066114,0.04444462084606977,0.0365663382611308,0.04047138036687493,0.03319249543751056
23,0.040829978346313904,0.0353368975248899,0.03648706247283408,0.04647533611395794,0.034720491307975075,0.037384164459528385,0.03396421787864246
